c_support,p_support,prompt_response,personal_support,easy_to_use,user_friendly,easy_to_read,satisfied_products,products_meet_needs,quality_products
3,4,3,5,3,4,3,3,3,3
4,4,4,4,3,3,2,3,5,3
4,4,4,3,3,3,2,3,4,3
3,3,3,3,2,3,2,3,4,1
3,3,4,4,4,4,3,4,5,4
3,3,3,3,3,4,4,3,3,3
3,4,4,4,3,2,2,2,2,2
2,2,3,2,3,3,3,2,4,2
3,4,3,3,3,4,4,3,3,4
5,5,4,4,2,3,2,3,4,3
3,3,3,3,3,3,4,3,4,4
3,3,3,4,2,2,2,3,4,3
3,4,2,3,3,3,3,3,3,3
5,5,5,5,3,5,5,3,3,4
2,3,3,3,3,3,3,3,3,3
3,4,4,3,3,4,3,5,5,3
4,4,4,3,4,4,3,3,3,4
4,4,4,4,3,3,3,3,3,2
5,4,4,4,4,5,4,3,3,3
2,2,2,3,2,3,3,3,3,3
3,3,4,3,3,3,3,3,4,3
5,4,4,5,4,4,4,3,3,3
5,4,4,4,4,4,3,4,4,3
3,4,3,3,3,4,4,3,3,3
4,4,4,3,3,4,2,3,4,3
3,4,3,3,3,4,3,3,4,4
4,4,3,3,2,3,4,2,4,2
3,3,3,3,2,4,4,4,4,4
5,5,4,4,3,4,3,3,4,2
4,4,3,4,2,3,2,4,3,3
4,4,4,3,2,2,3,3,4,3
3,4,4,4,3,2,2,4,3,3
2,3,3,2,3,3,3,2,1,1
3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,4,3
3,4,3,4,3,3,3,3,3,3
3,4,5,3,3,4,3,3,4,3
3,4,4,3,2,2,2,3,4,4
3,3,3,3,2,3,3,3,3,3
4,4,4,4,2,2,2,2,4,2
4,4,4,2,4,4,2,4,4,4
3,3,4,3,3,4,4,4,5,5
2,2,3,4,2,3,1,4,4,4
4,4,4,3,3,4,3,4,3,4
3,3,3,3,2,3,2,3,3,3
4,4,4,5,3,3,3,3,3,4
4,4,4,3,3,3,3,3,2,3
4,4,4,4,3,3,4,3,4,4
3,3,5,4,3,4,4,4,4,4
5,4,5,4,3,3,3,4,5,5
3,4,4,3,3,3,3,2,3,2
4,3,5,3,3,3,3,4,4,4
3,4,3,4,3,4,3,4,4,4
4,4,4,4,1,3,4,4,4,1
4,4,4,4,2,4,1,3,4,4
3,3,4,4,3,4,4,4,4,3
3,3,4,3,5,4,5,2,4,3
3,4,3,3,3,3,2,3,3,2
3,3,4,3,2,2,2,2,4,4
3,3,3,3,3,3,3,2,2,3
3,3,3,3,4,4,4,3,4,3
2,2,2,2,3,3,2,2,2,2
5,4,4,5,3,3,3,4,3,4
3,4,3,4,4,3,3,1,1,1
3,3,3,2,2,2,2,2,2,2
2,2,2,2,2,4,1,2,3,2
4,3,3,4,3,3,2,3,3,3
5,3,5,4,4,4,4,3,4,4
3,3,3,3,4,3,3,3,3,2
2,3,2,3,2,2,2,4,4,4
3,3,3,3,3,3,3,3,4,4
4,3,3,3,3,3,3,4,4,3
3,4,3,4,3,3,3,4,4,4
3,3,3,3,3,4,3,3,4,3
4,2,2,3,3,4,4,3,3,3
2,4,4,3,3,3,2,2,2,2
3,5,4,4,3,4,3,1,1,2
4,3,3,3,3,3,3,3,3,2
4,4,4,4,4,4,3,4,4,4
5,4,2,5,3,4,3,4,5,4
3,4,4,4,3,3,2,3,3,3
3,4,4,4,3,4,3,4,4,3
3,4,4,4,2,3,2,3,4,3
3,3,3,4,3,3,3,4,4,3
4,4,4,5,3,3,4,3,4,3
5,4,4,3,3,3,4,3,3,3
4,3,4,4,2,4,4,4,4,4
5,4,4,4,3,5,3,3,3,3
4,3,4,4,3,4,4,5,2,4
3,4,3,4,3,3,4,3,4,4
3,3,3,3,4,3,2,3,4,4
2,3,3,3,3,3,4,3,4,3
4,4,4,4,4,3,4,3,3,3
2,4,3,3,2,3,2,3,3,3
5,4,3,3,3,3,3,4,3,3
4,3,2,3,2,3,2,3,3,3
4,4,4,4,4,4,4,4,4,3
2,4,4,3,2,2,4,4,4,3
4,4,4,4,3,4,3,3,3,3
3,3,3,3,3,3,4,4,4,3
3,3,3,3,3,3,4,3,3,3
3,3,4,5,4,5,3,4,5,4
3,4,5,4,3,3,2,4,4,4
4,4,4,3,3,4,3,3,4,4
4,3,4,4,3,4,4,3,2,3
3,4,3,3,3,3,2,3,3,3
3,3,4,4,4,3,3,3,3,3
4,4,4,3,2,2,2,2,3,3
3,2,3,2,1,3,2,3,5,4
4,5,5,5,5,4,5,5,5,5
4,4,4,4,3,4,4,4,4,4
3,3,3,4,2,3,2,3,5,4
4,4,3,3,3,4,3,4,4,4
3,4,3,3,3,3,3,3,4,3
5,4,4,4,4,4,3,3,4,3
3,3,4,4,2,3,2,3,3,3
3,5,4,3,4,3,3,5,5,4
4,4,4,4,3,3,3,3,3,3
3,4,3,3,2,3,4,2,3,2
3,3,3,3,3,3,3,3,3,3
5,2,5,5,4,4,4,4,5,4
2,3,3,3,3,3,2,3,3,2
3,3,3,3,3,3,3,3,3,3
3,4,3,3,3,4,3,2,3,2
4,4,4,4,3,5,3,2,2,2
3,3,4,3,3,3,3,3,3,3
3,2,3,3,3,2,2,2,3,4
3,3,3,3,3,3,3,3,3,2
3,4,4,4,4,4,5,3,4,4
4,3,4,4,2,4,3,4,4,3
5,5,4,4,3,3,2,2,3,1
4,4,3,3,3,4,3,4,4,4
3,3,4,3,4,4,3,3,4,4
4,4,4,4,3,3,3,3,4,4
4,4,4,4,3,3,3,3,3,3
4,4,4,4,4,4,4,5,5,5
4,4,4,3,3,3,3,3,3,4
4,4,5,3,3,3,3,3,4,4
4,4,4,4,3,4,2,4,4,2
4,4,3,4,4,4,4,4,4,4
2,2,2,2,3,2,2,3,4,3
4,4,4,4,4,4,4,3,4,4
2,4,3,2,2,2,3,3,4,3
4,4,4,4,3,3,4,3,3,3
4,3,3,4,3,3,3,3,3,3
4,4,4,4,4,4,3,3,4,4
3,3,2,2,2,3,3,2,2,2
3,3,4,4,4,4,2,3,3,3
3,3,3,3,3,3,3,3,4,3
5,5,3,4,3,3,3,3,3,2
4,4,4,4,3,4,3,4,5,3
3,4,3,4,3,4,5,4,4,3
3,3,3,4,2,4,4,3,4,3
5,5,5,5,4,4,4,4,5,5
4,3,3,3,3,3,3,3,4,3
3,4,3,3,3,3,3,3,3,4
2,2,2,2,2,5,5,2,3,4
3,4,4,3,2,4,2,3,4,2
3,3,4,4,4,4,3,4,4,3
3,3,4,3,4,5,5,4,5,4
2,3,3,4,3,3,4,4,4,4
4,2,5,4,4,4,4,4,4,5
1,1,5,1,1,4,1,1,1,1
3,4,4,3,2,2,1,4,5,3
3,4,4,4,3,3,2,4,4,4
4,4,4,3,2,3,2,3,4,3
4,4,4,3,3,4,4,5,4,4
3,2,4,4,3,4,2,3,3,4
5,5,5,5,5,4,3,4,5,4
4,3,4,4,2,3,3,3,5,4
3,3,4,4,3,3,3,3,3,3
3,4,3,3,3,3,3,3,4,3
4,4,4,4,4,3,3,3,4,4
3,2,4,3,2,2,2,3,3,3
4,4,4,4,4,4,3,4,4,3
4,2,2,3,3,4,3,2,2,2
5,5,5,4,3,4,2,5,5,5
5,3,5,3,4,3,4,2,2,4
4,4,3,4,3,4,3,3,5,4
3,3,4,3,1,4,4,3,4,4
4,4,4,4,4,4,3,3,4,4
4,4,4,4,3,3,3,2,2,3
2,3,2,3,2,2,2,2,4,3
4,3,3,4,3,3,3,4,4,3
5,5,4,4,3,3,3,4,4,4
2,3,4,3,3,3,3,3,3,3
4,3,3,3,2,3,2,4,4,3
4,4,4,4,4,4,4,4,4,4
4,5,5,5,3,5,3,4,4,4
5,5,4,4,3,3,4,5,5,4
4,4,5,5,3,4,2,5,5,5
2,3,4,3,3,3,1,4,4,3
4,3,4,4,3,4,3,4,4,4
4,4,4,4,3,4,4,2,3,3
4,4,5,4,3,3,4,3,3,4
4,3,3,3,3,3,3,3,3,3
4,4,4,4,3,4,3,3,3,2
4,4,4,3,2,2,2,3,4,3
3,3,3,3,3,4,5,3,4,5
3,3,4,3,3,3,3,3,3,3
3,3,4,4,3,3,3,4,4,4
3,2,4,3,2,3,2,2,2,2
3,4,4,3,3,5,3,4,4,4
2,3,3,3,3,4,3,3,3,3
5,4,5,4,4,3,4,4,4,3
5,4,5,5,3,4,4,5,4,5
2,5,2,2,4,4,4,2,2,2
4,4,4,4,3,3,3,3,4,3
4,3,3,3,3,4,3,3,4,3
4,4,4,4,3,4,4,4,4,3
5,5,5,5,5,5,2,5,5,5
3,2,3,4,2,4,3,2,4,3
3,3,3,2,1,2,1,3,4,3
4,4,4,3,2,3,2,3,3,3
4,3,3,3,3,4,3,3,4,4
4,3,3,4,3,4,4,2,3,3
5,4,4,4,3,3,3,1,1,3
3,3,4,4,3,3,3,2,2,3
4,5,5,4,2,3,3,4,5,5
4,3,4,4,3,3,3,3,4,4
5,5,5,5,3,4,4,4,4,3
4,3,3,5,3,4,4,3,5,3
3,4,3,4,2,3,2,3,3,3
1,3,3,3,2,3,2,3,3,2
3,3,3,3,3,4,3,4,3,3
3,3,3,4,2,3,2,3,4,2
4,4,4,4,2,2,2,4,4,4
4,3,3,3,2,4,2,3,4,3
3,3,3,3,3,3,3,3,4,3
3,2,3,3,2,3,2,3,3,3
3,3,2,3,3,3,2,3,3,2
3,4,4,3,3,4,3,3,3,3
3,3,3,4,1,3,1,3,4,1
4,2,3,2,2,3,2,3,5,3
4,3,4,4,3,4,5,4,4,4
5,5,5,5,3,4,4,3,4,4
3,3,3,3,3,3,2,3,4,3
3,5,4,4,3,4,2,4,3,4
4,3,3,4,3,3,4,3,4,3
4,3,2,3,2,3,3,3,4,3
3,3,4,3,3,3,3,4,4,4
3,4,4,4,4,3,3,3,4,2
3,4,3,3,3,2,2,3,4,3
4,4,4,4,3,5,5,3,4,3
5,4,5,4,4,4,4,4,5,4
4,3,3,4,3,3,3,3,2,3
3,3,5,4,3,3,3,3,3,3
3,4,4,3,3,4,2,5,4,5
3,4,4,2,2,3,2,2,4,2
